,ID_ENTIDAD,ANIO,Agua,Aportaciones Federales,Aprovechamientos,Contribuciones de Mejoras,Cuotas y Aportaciones de Seguridad Social,Derechos,Escuelas,Financiamiento,Hospitales,Impuestos,Inversión pública,Participaciones federales,Productos,Servicios de limpieza y manejo de desechos,Total de egresos,Total de ingresos,Ingresos_menos_finanzas
0,1,1989,0,1354872,29216415,0,8660090,5932487.0,0.0,0,0.0,2654532,37877627,124312707,16085664,0,188216767,188216767,188216767
1,1,1990,0,734969,222525,0,7543840,8500029.0,0.0,205050,0.0,3813237,52414685,191673095,55034625,0,267727370,267727370,267522320
2,1,1991,0,2540911,531753,0,9792302,9392296.0,0.0,35761489,0.0,5629189,107807226,262302860,38843157,0,396852180,396852180,361090691
3,1,1992,0,11614510,615162,0,16232508,18362466.0,0.0,9495176,0.0,8285722,119927117,345065437,19431405,0,487320667,487320667,477825491
4,1,1993,0,300116873,3001339,0,14967607,18301276.0,0.0,29837132,0.0,12007782,41543030,357470323,13126782,0,748829114,748829114,718991982
5,1,1994,0,414852484,3786733,0,29807905,18130248.0,0.0,26291187,0.0,8810270,64724055,411579628,14313284,0,927571739,927571739,901280552
6,1,1995,0,445569033,3012791,0,1182096,18361715.0,0.0,86211243,0.0,7691155,93656567,537091720,26789140,0,1125908893,1125908893,1039697650
7,1,1996,0,628518370,3817836,0,2080002,23240431.0,0.0,16224980,0.0,12249393,175642134,767381742,30691755,0,1484204509,1484204509,1467979529
8,1,1997,0,825423823,4597338,0,2127238,32770611.0,0.0,0,0.0,17547661,116427237,1054309744,50415971,0,1987192386,1987192386,1987192386
9,1,1998,0,1498936701,4109108,0,8047036,37441890.0,0.0,0,0.0,20274065,252256059,1293598552,105921195,0,2968697297,2968697297,2968697297
10,1,1999,0,1871160411,4740801,0,8720805,51592203.0,0.0,0,0.0,24240707,373966931,1590389913,127645763,0,3679454095,3679454095,3679454095
11,1,2000,0,2310317289,7822119,0,15530829,75055556.0,0.0,27722836,39949459.0,35993196,592687400,2046025719,99937554,0,4633578741,4633578741,4605855905
12,1,2001,0,2695027833,4369046,0,21237633,88764844.0,0.0,140232697,16350000.0,33686678,593946193,2244019602,69768928,0,5300783709,5300783709,5160551012
