,ID_ENTIDAD,ANIO,Agua,Aportaciones Federales,Aportaciones federales,Aprovechamientos,Contribuciones de Mejoras,Cuotas y Aportaciones de Seguridad Social,Derecho adicional sobre extracción del petróleo,Derechos,Escuelas,FA Múltiples,FA para Educación Tecnológica y Adultos,FA para Infraestructura Social Estatal,FA para Nómina Educativa y Gasto Operativo,FA para el Fortalecimiento de los Municipios,FA para el Fortalecimiento de los Municipios y las Demarcaciones Territoriales de la Ciudad de México,FA para la Infraestructura Social Municipal,FA para la Seguridad Pública,FA para los Servicios de Salud,Financiamiento,Fondo de Extracción de Hidrocarburos,Hospitales,Impuestos,Inversión pública,Participaciones federales,Productos,Recursos federales reasignados,Servicios de limpieza y manejo de desechos,Servicios personales,Total de egresos,Total de ingresos,Ingresos_menos_finanzas
0,1,1989,0,1354872,0,29216415,0,8660090,0,5932487.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,2654532,37877627,124312707,16085664,1354872,0,23236402,188216767,188216767,188216767
1,1,1990,0,734969,0,222525,0,7543840,0,8500029.0,0.0,0,0,0,0,0,0,0,0,0,205050,0,0.0,3813237,52414685,191673095,55034625,734969,0,33169149,267727370,267727370,267522320
2,1,1991,0,2540911,0,531753,0,9792302,0,9392296.0,0.0,0,0,0,0,0,0,0,0,0,35761489,0,0.0,5629189,107807226,262302860,38843157,2540911,0,48443161,396852180,396852180,361090691
3,1,1992,0,11614510,0,615162,0,16232508,0,18362466.0,0.0,0,0,0,0,0,0,0,0,0,9495176,0,0.0,8285722,119927117,345065437,19431405,11614510,0,75504305,487320667,487320667,477825491
4,1,1993,0,300116873,0,3001339,0,14967607,0,18301276.0,0.0,0,0,0,0,0,0,0,0,0,29837132,0,0.0,12007782,41543030,357470323,13126782,300116873,0,77297423,748829114,748829114,718991982
5,1,1994,0,414852484,0,3786733,0,29807905,0,18130248.0,0.0,0,0,0,0,0,0,0,0,0,26291187,0,0.0,8810270,64724055,411579628,14313284,414852484,0,84433440,927571739,927571739,901280552
6,1,1995,0,445569033,0,3012791,0,1182096,0,18361715.0,0.0,0,0,0,0,0,0,0,0,0,86211243,0,0.0,7691155,93656567,537091720,26789140,445569033,0,107157929,1125908893,1125908893,1039697650
7,1,1996,0,628518370,0,3817836,0,2080002,0,23240431.0,0.0,0,0,0,0,0,0,0,0,0,16224980,0,0.0,12249393,175642134,767381742,30691755,628518370,0,118523352,1484204509,1484204509,1467979529
8,1,1997,0,825423823,0,4597338,0,2127238,0,32770611.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,17547661,116427237,1054309744,50415971,825423823,0,153346754,1987192386,1987192386,1987192386
9,1,1998,0,1498936701,0,4109108,0,8047036,0,37441890.0,0.0,55960148,0,0,1068031707,63712400,0,121984306,0,189248140,0,0,0.0,20274065,252256059,1293598552,105921195,0,0,197237817,2968697297,2968697297,2968697297
10,1,1999,0,1871160411,0,4740801,0,8720805,0,51592203.0,0.0,65720241,2032372,0,1221397543,136683938,0,109818841,64998504,270508972,0,0,0.0,24240707,373966931,1590389913,127645763,0,0,277306436,3679454095,3679454095,3679454095
11,1,2000,0,2310317289,0,7822119,0,15530829,0,75055556.0,0.0,73656098,30041856,7824570,1504809940,156853608,0,56734590,74098290,339986794,27722836,0,39949459.0,35993196,592687400,2046025719,99937554,66311543,0,367248767,4633578741,4633578741,4605855905
12,1,2001,0,2695027833,0,4369046,0,21237633,0,88764844.0,0.0,91115176,39748984,9328994,1692786131,190466920,0,67642901,81067452,399444275,140232697,0,16350000.0,33686678,593946193,2244019602,69768928,123427000,0,445870204,5300783709,5300783709,5160551012
13,1,2002,0,2884515889,0,3967714,0,4898265,0,102845313.0,86288334.0,118551104,42519397,9843577,1809986771,217556148,0,71374053,41830599,431191132,294982031,0,43865248.0,40541241,781261447,2328753384,31738837,141663108,0,498990954,5695133016,5695133016,5400150985
14,1,2003,0,3786949978,0,5563147,0,5045935,0,126280041.0,139072117.0,142274075,47582009,10376716,1954924229,223036824,0,75239754,37632410,468476574,6156376,0,9857175.0,46219492,744733652,2715500328,28591921,827407387,0,531850778,6726066424,6726066424,6719910048
15,1,2004,0,4105945887,0,4782048,0,6653197,0,140962636.0,17567443.0,123061893,51042781,10785338,2138822213,236407466,0,78202602,52685373,537453265,0,0,4440193.0,54340835,404560864,2950715376,41696246,877484956,0,596861927,7307936583,7307936583,7307936583
