ANIO,count,mean,std,min,25%,50%,75%,max
1989,32.0,86.44291049979785,114.1489184242692,39.5619814798496,39.5619814798496,39.5619814798496,62.18275239446218,563.191353051063
1990,32.0,110.48211843084667,169.11762590448615,39.5619814798496,39.5619814798496,45.57373987694321,71.84421795594179,819.818972961879
1991,32.0,130.24314642209157,193.31626995168435,39.5619814798496,44.565850266529104,61.04236824025615,100.22516488875232,942.95259440855
1992,32.0,222.28826588605338,342.6995112824044,39.5619814798496,54.666270672325226,83.28926991426691,182.25073732824924,1452.8814224634
1993,32.0,274.0636998626632,408.95581476458847,39.5619814798496,71.09084648665332,96.3331340109084,214.93999734804152,1572.73349066333
1994,32.0,344.62949089328447,448.5389936776596,39.5619814798496,83.72947812896923,133.1670050203625,415.42414692539677,1622.99389277764
1995,32.0,250.38743999272003,379.8922271348368,39.5619814798496,76.84268746720868,120.92609409974298,198.69314347766723,1512.3306350162302
1996,32.0,292.6043279042507,498.23382040482556,39.5619814798496,80.28504812949713,121.866389775492,189.20823668851472,2402.09721628486
1997,32.0,363.4598110372566,640.2114683537351,54.0919621002263,102.23291961206232,149.120088875933,205.86057451619848,2599.5872671706
1998,32.0,416.57797386432304,602.5080295048384,82.1347334295731,151.5986490011755,194.2500303161475,281.17645046896246,2599.5872671706
1999,32.0,498.28370602733247,679.3390318910524,94.77894135965391,186.08265615192798,224.3999032062485,340.812785597593,2599.5872671706
2000,32.0,468.29118017511917,604.5727094103147,95.7099165276654,200.944672026344,265.33080282810204,397.18509510907097,2599.5872671706
2001,32.0,453.76630004543927,471.17405250104065,111.79235959276699,220.03085055835376,285.1255182870205,492.1719501767143,2599.5872671706
2002,32.0,479.36628365254506,482.4826213632396,98.67270043341699,206.97875312067077,340.91065181341594,467.8986899432077,2599.5872671706
2003,32.0,526.4778118074528,475.53137757597824,175.152120503844,275.17501494794476,388.68378466333047,603.1667348301423,2599.5872671706
2004,32.0,585.0951167196283,498.8306650289818,141.887737521199,317.44333312429853,397.2423544091945,695.4826853971457,2599.5872671706
2005,32.0,674.840500955204,515.3642399395442,237.626420373382,359.1996099207805,478.5991191321365,796.8357741626987,2599.5872671706
2006,32.0,752.7102983457362,503.33610952100105,296.453624909996,442.5229150483555,577.6445390636904,898.077044627118,2599.5872671706
2007,32.0,810.9718557086276,510.69620735586363,316.08164228556,462.6851440426453,646.3257631777569,1023.2162506799825,2599.5872671706
2008,32.0,906.1065008518426,579.0487149457153,352.04566539820604,514.8105492150933,679.727278031155,1049.1682131943899,2599.5872671706
2009,32.0,888.9737218300447,571.9313631267582,324.34107725363,535.2082898403639,687.347891073033,981.7480060343788,2599.5872671706
2010,32.0,901.9004801902756,485.2550824973957,397.981095024095,615.8897365008172,690.3042846271785,1168.417203254975,2599.5872671706
2011,32.0,1050.755290557269,529.1546934566251,405.557703380768,648.0564979590924,963.6974315744856,1330.0877766398125,2599.5872671706
2012,32.0,1118.5658162785198,515.6420101761354,526.408110455077,699.5222906286556,1014.358167148366,1296.86598673151,2599.5872671706
2013,32.0,1267.4253099813259,577.2832409059447,434.109389220263,919.0079816666271,1095.88130900789,1582.0909180248948,2599.5872671706
2014,32.0,1414.6106168912174,656.9438886993822,541.7414756220379,951.209610947031,1252.61964128028,1727.3174820291176,2599.5872671706
2015,32.0,1438.08153260662,704.1596770995019,570.597956086571,934.2657290479061,1223.07235766735,1897.4046487827277,2599.5872671706
2016,32.0,1524.3876474818894,669.7785935789138,459.179094162564,948.5060192775337,1458.37659378386,2264.77829290573,2599.5872671706
2017,32.0,1677.1784258914508,681.384796849606,555.2894907456421,981.2684656746122,1758.051736825535,2267.1623089085247,2599.5872671706
2018,32.0,1702.203499150164,664.8806589704301,488.004725519343,1101.1093676120802,1666.4751037309702,2323.6367758845154,2599.5872671706
2019,15.0,1379.1044053870958,643.231012252629,477.233781488149,955.6361086449169,1261.77558627033,1737.0193874635102,2599.5872671706
