ANIO,count,mean,std,min,25%,50%,75%,max
1989,32.0,43.37051362842549,36.36561976379275,6.19302284166915,14.896874460972525,36.18740287441265,54.93722052179887,154.410873860955
1990,32.0,57.17257505149643,40.16263625946343,5.9644590227490495,39.7682227593598,49.81742542083421,65.90867468133037,202.602387623989
1991,32.0,80.92412238672117,68.55928429872773,0.0,40.0967178499449,68.7955544573764,108.9856795852,331.044277500098
1992,32.0,96.04245832157464,68.31080394625198,0.0,50.0229384911839,97.92127970257161,118.78809223397126,300.843739793301
1993,32.0,95.03894216152214,69.36420599697634,6.07399435444402,41.15358933532293,82.97262645007379,122.54569906196974,280.814757128949
1994,32.0,102.5995979019016,69.81091796916967,6.68594279888492,61.58837897524338,94.3402745578921,117.85634831248674,337.264626293131
1995,32.0,87.57793522032208,64.07562929792402,0.0,42.07077869472907,68.323302401909,115.15534744213375,251.252201818187
1996,32.0,121.51140808836043,97.75009025111972,0.0,57.68628234454083,99.56241535397609,169.53913027751298,466.880707140636
1997,32.0,166.04457540411173,106.00438682439179,29.8192260067407,102.233650282946,138.440573579511,212.0605483760538,483.77321773768404
1998,32.0,247.8556527162361,179.79144260227392,57.891404168552796,127.77541883546874,186.234600576379,291.2203341460425,886.0794242589931
1999,32.0,309.38604008488437,220.16028756307995,37.445816398443796,153.40160010070025,239.7399057002325,403.90166525655354,1028.04410543699
2000,32.0,415.9233939213174,298.90478542984886,94.8168419174477,252.167555825463,335.364894430458,468.98792028386106,1409.07637106736
2001,32.0,427.7019224074402,230.68389157518783,90.829073517827,278.3468764387217,388.02160498296155,538.5109222539935,1106.8799412079902
2002,32.0,433.94243366486063,238.95800370218763,94.28804014323549,260.8036029484555,375.67315587391647,616.6649944202203,932.339663969957
2003,32.0,502.64589555515334,274.2765633562342,88.2995586741873,342.64288474931425,465.904906365828,612.7641050901867,1138.66185180237
2004,32.0,539.5398142516894,343.34579935634423,80.1444678865232,352.0204454035668,474.06252474039354,697.0064767456073,1764.0347369643803
2005,32.0,695.2325448841826,358.7041499390963,81.6158070804118,453.8341946271207,663.6958650882115,926.0993568261167,1415.6296169238199
2006,32.0,812.8817987171476,499.3317284690319,76.3682401691232,472.22893610853953,688.4385095271821,1133.7326948927025,1953.9350985067802
2007,32.0,973.0643176693625,550.8694457946223,70.7347870409906,674.5482882993178,975.258930359875,1191.872050087515,2673.1498839432
2008,32.0,1204.5921580475115,751.7393991372949,85.5548412008701,634.7455256468132,1042.28799863732,1619.58266642852,2905.0200098823498
2009,32.0,1392.4619213243084,934.8357011875859,56.1767847973115,663.011943356555,1119.217054884585,2054.856512058345,3934.51814723835
2010,32.0,1287.5822184128294,1286.3250299127624,88.4517076051448,516.3362952825246,949.3823805988756,1669.6346916542377,6967.953113294289
2011,32.0,1028.3755801613147,738.6405105299427,116.15629315464199,522.3481395665095,846.4850473807195,1474.5236414330102,3275.89001405552
2012,32.0,967.5706929524282,709.7917868439677,59.467221159386995,522.161832397612,732.565301727015,1190.2914988663026,2916.7427610334103
2013,32.0,985.0136647014502,672.1386115939857,176.786646872132,455.04636461284696,737.0818842245391,1463.8709191889927,2727.0017556133803
2014,32.0,944.6717522488642,707.9911016775451,139.008374116602,460.33582700173275,781.2392289729376,1250.92957467584,3373.6347936374104
2015,32.0,760.5346670512923,496.14216464199313,79.93596222684279,331.39071143272696,659.6135524472484,1050.0940242208899,2090.33741463661
2016,32.0,698.4186013048577,424.29338329974985,13.4462405439711,317.134772859944,696.1296248555295,949.2309261197975,1928.78473972647
2017,32.0,685.4370671743931,448.4395665611392,91.3663601684399,311.513383231526,667.734279544914,878.5536193350755,2178.4347904925303
2018,32.0,827.4714637306914,540.7832968389339,116.206449156396,388.7848793655555,750.2881974475305,1263.5732939312625,2254.86449972938
2019,15.0,573.3560669985111,332.01275740169314,214.001944547378,348.2016431068875,448.05436132834296,773.7739666245905,1422.53458240617
