ANIO,count,mean,std,min,25%,50%,75%,max
1989,32.0,418.72426208161903,243.56407061605796,324.52095688259,324.52095688259,324.52095688259,340.4732801025945,1496.4543534205802
1990,32.0,451.9328564474581,226.9349286590127,324.52095688259,324.52095688259,324.52095688259,498.3546530594102,1148.36028852609
1991,32.0,548.895009677558,316.9116673511401,324.52095688259,335.582172688697,413.0808125738745,565.4363546314426,1506.42827757448
1992,32.0,736.8868007135802,434.8030143916003,324.52095688259,436.883061486673,565.5525194154435,885.4230424637898,2147.41044679258
1993,32.0,963.6602293062372,513.5499954762654,331.878279375739,546.1810661726267,841.9741609372365,1251.2665095389148,2241.7238119594604
1994,32.0,1212.9446185325166,549.4129106686529,521.545018690622,818.5994130933823,1127.614276760825,1412.1569857355476,2585.0382722808104
1995,32.0,1441.3400315067258,582.8340526109995,579.7057636598099,958.5860853207503,1340.503224061495,1809.9477315788724,2688.293654944
1996,32.0,1918.9587339587192,761.4420921421078,890.1128590815119,1447.7489586436277,1694.19547983397,2245.5825522282976,3477.2760420357695
1997,32.0,2510.2378666793097,950.0632810657243,1183.7727942341198,1852.04075106622,2189.547078329075,2878.122553448605,4692.86381452646
1998,32.0,3420.296100823652,1157.2424350887873,1508.6785546265198,2682.1411876732527,3127.740663833175,4028.178299238705,6054.43473513612
1999,32.0,4185.415924070785,1315.532293374222,1711.87452896772,3381.4467772780217,3933.089285300245,4743.778288630135,7580.1950843839095
2000,32.0,5060.692023558737,1484.1881772867973,2181.2256529631304,4192.503925606335,4743.78573318201,5628.089496510208,8805.332698218741
2001,32.0,5675.663531305915,1249.0739968579549,3748.25991682411,4944.4425354555315,5440.9630198452405,6052.51698229255,9385.570616505831
2002,32.0,6042.450470270673,1304.6932152553352,3963.9405508833897,5108.180959228807,5795.950043902225,6396.095943211871,9546.77096348622
2003,32.0,6793.470563758158,1405.032370887921,4416.26732604394,6030.019700721047,6494.24931409612,7116.631913532328,10991.2252583272
2004,32.0,7363.926349965728,1608.4392970809508,4826.07034245004,6409.799102121193,7076.799379314015,7869.95058420237,11735.632667585
2005,32.0,8168.587350223467,1885.4103088519737,5760.8162626598705,7164.149740554443,7678.183620497175,8404.910771131319,14104.6792281689
2006,32.0,9215.289637698792,2035.6648364037949,6154.92853674264,8077.539605604306,8671.66197548078,9466.569176975463,15225.9085295064
2007,32.0,10056.577761811846,2161.9271450071883,6347.07496965407,8747.984815355196,9612.231810664416,10865.092793563575,15947.590057225902
2008,32.0,11640.028518511484,2625.162917198684,8447.56890537187,9856.382037797484,10715.40064114955,12699.36559143025,20418.9796407323
2009,32.0,12264.581203376003,2158.669657837721,8943.17212129228,10722.558930734,11720.839731602598,13660.607013987576,16687.3453916991
2010,32.0,12818.003880064112,2462.8546442636966,8833.63294978904,11124.931588011175,12123.571182977601,14669.8300999477,18279.1861329047
2011,32.0,14160.617206859188,2945.80076220601,9807.38533328724,12098.676183267053,13371.537312376,16234.355731754475,20418.9796407323
2012,32.0,14491.105379568098,2725.2504389877267,10012.8980601812,12372.5858128689,14215.44493412475,16363.82598164845,20418.9796407323
2013,32.0,15522.458759312305,2621.267663407995,11641.578644983001,13281.33962217665,15220.5328127164,17765.52765188495,20418.9796407323
2014,32.0,16394.173316318756,2608.257072275748,11663.9243912321,14111.106822611351,16358.564129874801,18784.981006256276,20418.9796407323
2015,32.0,16899.361395775166,2532.5009500029155,12172.8566561093,15169.004250417998,16535.019968834902,19580.014545915677,20418.9796407323
2016,32.0,17205.26088691268,2222.4929382479177,12895.5666394125,15826.2064364039,17065.81942896105,18573.328659294526,20418.9796407323
2017,32.0,18110.411745068435,2024.8720553002481,13951.4543471104,16541.408171263698,18204.669354935402,20418.9796407323,20418.9796407323
2018,32.0,18726.99554084847,1964.5107274199122,14178.4168971648,17131.847045286147,19710.9652179191,20418.9796407323,20418.9796407323
2019,15.0,18229.431925062014,2005.9832702452695,14445.480235216999,17261.156272218752,18064.2756684404,20349.6847027446,20418.9796407323
