"","id_estado","ANIO","estado","poblacion"
"1",1,1989,"Aguascalientes",691047
"2",1,1990,"Aguascalientes",719659
"3",1,1991,"Aguascalientes",748271
"4",1,1992,"Aguascalientes",776883
"5",1,1993,"Aguascalientes",805496
"6",1,1994,"Aguascalientes",834108
"7",1,1995,"Aguascalientes",862720
"8",1,1996,"Aguascalientes",879033
"9",1,1997,"Aguascalientes",895346
"10",1,1998,"Aguascalientes",911659
"11",1,1999,"Aguascalientes",927972
"12",1,2000,"Aguascalientes",944285
"13",1,2001,"Aguascalientes",968511
"14",1,2002,"Aguascalientes",992737
"15",1,2003,"Aguascalientes",1016964
"16",1,2004,"Aguascalientes",1041190
"17",1,2005,"Aguascalientes",1065416
"18",1,2006,"Aguascalientes",1089332
"19",1,2007,"Aguascalientes",1113248
"20",1,2008,"Aguascalientes",1137164
"21",1,2009,"Aguascalientes",1161080
"22",1,2010,"Aguascalientes",1184996
"23",1,2011,"Aguascalientes",1209057
"24",1,2012,"Aguascalientes",1233118
"25",1,2013,"Aguascalientes",1257179
"26",1,2014,"Aguascalientes",1281240
"27",1,2015,"Aguascalientes",1305302
"28",1,2016,"Aguascalientes",1329363
"29",1,2017,"Aguascalientes",1353424
"30",1,2018,"Aguascalientes",1377485
"31",1,2019,"Aguascalientes",1401546
"32",1,2020,"Aguascalientes",1425607
"33",2,1989,"Baja California",1570598
"34",2,1990,"Baja California",1660855
"35",2,1991,"Baja California",1751112
"36",2,1992,"Baja California",1841369
"37",2,1993,"Baja California",1931626
"38",2,1994,"Baja California",2021883
"39",2,1995,"Baja California",2112140
"40",2,1996,"Baja California",2187185
"41",2,1997,"Baja California",2262231
"42",2,1998,"Baja California",2337276
"43",2,1999,"Baja California",2412322
"44",2,2000,"Baja California",2487367
"45",2,2001,"Baja California",2558787
"46",2,2002,"Baja California",2630208
"47",2,2003,"Baja California",2701628
"48",2,2004,"Baja California",2773049
"49",2,2005,"Baja California",2844469
"50",2,2006,"Baja California",2906589
"51",2,2007,"Baja California",2968709
"52",2,2008,"Baja California",3030830
"53",2,2009,"Baja California",3092950
"54",2,2010,"Baja California",3155070
"55",2,2011,"Baja California",3216465
"56",2,2012,"Baja California",3277860
"57",2,2013,"Baja California",3339255
"58",2,2014,"Baja California",3400650
"59",2,2015,"Baja California",3462045
"60",2,2016,"Baja California",3523440
"61",2,2017,"Baja California",3584835
"62",2,2018,"Baja California",3646230
"63",2,2019,"Baja California",3707625
"64",2,2020,"Baja California",3769020
"65",3,1989,"Baja California Sur",306218
"66",3,1990,"Baja California Sur",317764
"67",3,1991,"Baja California Sur",329310
"68",3,1992,"Baja California Sur",340856
"69",3,1993,"Baja California Sur",352402
"70",3,1994,"Baja California Sur",363948
"71",3,1995,"Baja California Sur",375494
"72",3,1996,"Baja California Sur",385203
"73",3,1997,"Baja California Sur",394913
"74",3,1998,"Baja California Sur",404622
"75",3,1999,"Baja California Sur",414332
"76",3,2000,"Baja California Sur",424041
"77",3,2001,"Baja California Sur",441667
"78",3,2002,"Baja California Sur",459293
"79",3,2003,"Baja California Sur",476918
"80",3,2004,"Baja California Sur",494544
"81",3,2005,"Baja California Sur",512170
"82",3,2006,"Baja California Sur",537141
"83",3,2007,"Baja California Sur",562112
"84",3,2008,"Baja California Sur",587084
"85",3,2009,"Baja California Sur",612055
"86",3,2010,"Baja California Sur",637026
"87",3,2011,"Baja California Sur",653168
"88",3,2012,"Baja California Sur",669310
"89",3,2013,"Baja California Sur",685452
"90",3,2014,"Baja California Sur",701594
"91",3,2015,"Baja California Sur",717736
"92",3,2016,"Baja California Sur",733879
"93",3,2017,"Baja California Sur",750021
"94",3,2018,"Baja California Sur",766163
"95",3,2019,"Baja California Sur",782305
"96",3,2020,"Baja California Sur",798447
"97",4,1989,"Campeche",513719
"98",4,1990,"Campeche",535185
"99",4,1991,"Campeche",556651
"100",4,1992,"Campeche",578117
"101",4,1993,"Campeche",599584
"102",4,1994,"Campeche",621050
"103",4,1995,"Campeche",642516
"104",4,1996,"Campeche",652151
"105",4,1997,"Campeche",661785
"106",4,1998,"Campeche",671420
"107",4,1999,"Campeche",681054
"108",4,2000,"Campeche",690689
"109",4,2001,"Campeche",703497
"110",4,2002,"Campeche",716305
"111",4,2003,"Campeche",729114
"112",4,2004,"Campeche",741922
"113",4,2005,"Campeche",754730
"114",4,2006,"Campeche",768272
"115",4,2007,"Campeche",781814
"116",4,2008,"Campeche",795357
"117",4,2009,"Campeche",808899
"118",4,2010,"Campeche",822441
"119",4,2011,"Campeche",833033
"120",4,2012,"Campeche",843625
"121",4,2013,"Campeche",854218
"122",4,2014,"Campeche",864810
